index,text,true_label,predicted_label
0,14.12.2018 epo trailer pathutu irken ... Semaya iruku,Not_offensive,not-Tamil
1,Paka thana poro movie la Enna irukunu,Not_offensive,Not_offensive
2,“U kena tunggu lebih lama lagi untuk tahu saya” - chiyaan recognized,not-Tamil,not-Tamil
3,Suriya anna vera level anna mass,Not_offensive,Not_offensive
4,suma kaththaatha da sound over a pooda kudaathu pa s3 1 month oda stop aakidum then bairavaa da aaddchi than kaththi kaththi thondaiya kilikatha pa,Offensive_Untargetede,Not_offensive
5,ஆனவக் கொலைகள் நடக்காவிடில் ...நம் அடையாளம் அளிக்கப்படும்... இயக்குனருக்கு வாழ்த்துக்கள்...தமிழ்நாடு முத்தரையர்கள்,Offensive_Targeted_Insult_Group,Not_offensive
6,teasere intha alavukk masss aa irunthal padam enthalavukku masssa iruppano.... Ithukkum mele. Luv u Suriya anna ur die hard fan from kerala,Not_offensive,Offensive_Targeted_Insult_Individual
7,Enthanai kudumbam velila sollamudiyama sethukutu iruku... Irukura unmaye sollum..... Padam. Dharmapuri veera Venniyer sarbaga valthukal...,Not_offensive,Not_offensive
8,Power ranger megazord niyabagam vantha hit like,Offensive_Untargetede,not-Tamil
9,"Parkavakula Udayar, moopanar, nainar sarbhaka valthukal",Not_offensive,Not_offensive
10,Part 2 எடுத்து எடுத்து நல்ல படைப்பான part 1 ன தரம் குறைக்காதீர்கள்........2018 ல part 2 எதுவும் ஓடல நல்லாவும் இல்ல அப்பறம் 2019 இப்போ 2020,Not_offensive,Not_offensive
11,Na oru 1000 times mela pathu irukn,Not_offensive,Not_offensive
12,1st Ayan super hit 2nd maatran mega hit  3rd kaapaan kandipaa block buster Suriya + kv anand,Not_offensive,Not_offensive
13,0:28 Shaktimaan Parle-G Biscuit SaptuNaanum sinna vayasula jump panni parakka  try pannirukken 90's Pasanga Da 🤣,Offensive_Untargetede,Not_offensive
14,தேவர் சமுதாய மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகிறோம்,Not_offensive,Not_offensive
15,Thalaivaaa.......nee ena periya vasul Manan ah..!!! Apdithan soldranga.#Pongal#Thalapathy pongal #2k17#King of box-office.,Not_offensive,Not_offensive
16,"Enna da idhu marana mass ah irukku,all the best vetrimaran..",Not_offensive,Not_offensive
17,Gownder inam sarapaka padam vetriper valthukala,Not_offensive,Not_offensive
18,செஞ்சி கோட்டை கவுண்டர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Not_offensive,Not_offensive
19,15.1M VIEWS NOW 16M VIEWS SOON,Not_offensive,not-Tamil
20,எவனுக்கும் அடங்க மாட்டோம்... எவளுக்கும் மயங்க மாட்டோம்🤙... # நாடக காதல் # கும்பல்களை வேரோடு அழிக்க வந்த # திரௌபதி படத்திற்கு.. தேவேந்திர குல வேளாளர் சார்பாக வாழ்த்துக்கள்.,Offensive_Targeted_Insult_Group,Not_offensive
21,Movie yachum nailla eruka nu papom,Offensive_Untargetede,Not_offensive
22,nice aana teaser starting laa vandha dialogue mgr sir engaveetu Pillai la padina naan anai etal ooda middle lines laa...,Offensive_Targeted_Insult_Other,Not_offensive
23,Indheee oru padam poodhum thalaivaaaa.... Naaan ungaleee marupadiyum parthutheeee.....,Not_offensive,Not_offensive
24,Yannada trailer idhu yadho oruthava family la nadakkura kadhaiya yaduthu vachirukka,Offensive_Untargetede,Not_offensive
25,Ajith = h.Vinod= Siva = h. Raja,Not_offensive,not-Tamil
26,2M likes varumnu solravanga Like podunga,Not_offensive,Not_offensive
27,Dai unmaiyanumea marana kattu katuvega pola,Offensive_Untargetede,Not_offensive
28,Petta movie pakka Yarellam Wait Panringa,Not_offensive,Not_offensive
29,இந்தப் படத்தை இப்ப பேசுவதை விட பத்து வருஷம் அப்புறம் தான் அதிகமா பேசுவாங்க.,Not_offensive,Not_offensive
30,Semaaaaaaaaaaaaaaaaa danus Sir superrrrrrrr miratta poguthu,Not_offensive,Not_offensive
31,Inime intha padathula nadicha hero va super star ra ethukita than intha padathu ku neenga kodukura mariyathai. Pada tha kudumpathoda poi theatre la parunga. Culture ra meetu edukura intha mari padatha atharicha adutha thalai murai nala irukum kudumpa manam pogama irukum,Not_offensive,Not_offensive
32,Na arasayil Ku varuvadhu urudhi urudhi udhiii🤣,Not_offensive,Not_offensive
33,Thee mugam than  song semmaiya iruku soluravanga ellam oru like podunga  pa,Not_offensive,Not_offensive
34,Super nice  தைரியமாக இந்த கதையை எடுத்த இயக்குனர் அவர்களுக்கு  வாழ்த்துக்கள். இதில் வரும் காட்சிகள் போன்ற சம்பவம் அனைத்து ஊர்களிலும் நடந்து கொண்டு இருக்கிறது.,Not_offensive,Not_offensive
35,🤣🤣🤣 video ku  dislike pottavangalam vanthu Inka oru like ah thatti vitutu ponga,Offensive_Targeted_Insult_Other,Not_offensive
36,Sema semaaaaaa ... Waiting to see,Not_offensive,Not_offensive
37,முத்தரையர் சமுதாயம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Not_offensive,Not_offensive
38,#Kaapaan teaser mass vera level therikudhu,Not_offensive,Not_offensive
39,What did you say Mrs.Meera Krishanana Ippudi neryea Neryea Neryea...,Not_offensive,Offensive_Targeted_Insult_Individual
40,கோமாளி90'பசங்க        வெறித்தனம் இந்த படத்துல தெரியும் டா90'பசங்களோட வலி     அப்போ. இப்போ,Not_offensive,Not_offensive
41,Aathi kanithan 2 paatha maarilla iruku...,Offensive_Targeted_Insult_Individual,Not_offensive
42,pleace trailer semma..... unlike pottrathinga poota mersal gaali ayudum,Not_offensive,Not_offensive
43,"Vjs, udanbu veengittu varuthu, 45 vayadhu  mathiri theriyuthu,. Nallave ille,  middle age RO ok a chose pannu",Not_offensive,Not_offensive
44,NGK ஆனா எனக்கு NTK னு கேக்குது. NTK க்காகவே இந்த படம் எடுத்தமாதிரி தெரியுது...  NTK. NAAM TAMILAR KATCHI. SEEMAN.,Not_offensive,not-Tamil
45,Vaa thalaiva..ENPT ku serthu idhula bangam pandrom..! !,Offensive_Untargetede,not-Tamil
46,chuma theri ya iruku mass thalaivaa sema look,Not_offensive,Not_offensive
47,Marana Mass..  Love u Superstar..,Not_offensive,Not_offensive
48,Music bhi chori ka hai  We will rock you,not-Tamil,not-Tamil
49,10M views...Suriya Anna veriyans like here,Not_offensive,Not_offensive
50,0.42 bgm vera level gvp.....Vetri maaran no words,Not_offensive,Not_offensive
51,"Ennathu ithu konjam kuda sense illama ,pakkum pothu kudava ungalukku antha ponnu j.j konjam kuda match agalanu thonala .....waste of time",Offensive_Targeted_Insult_Group,Not_offensive
52,trailerna ithu trailer  pakka mass & class   like   muyal vegham dislike Aamai vegham   dear hatter's Uusshh |,Not_offensive,Not_offensive
53,Ajith kumar fan like here,Not_offensive,Not_offensive
54,"Dsp ela oru paper ha.. Em 1,psa,lic my frnd ece dep oda ec1, system ela vara level la erukum",Not_offensive,Not_offensive
55,"Hindi Pink movie remake, Amitabh / Tapsee",Not_offensive,not-Tamil
56,Mirattal Bgm  IsaiThalaivan Bgm King,Not_offensive,not-Tamil
57,Sivakarthikeyana vida Action king than neraiya edathula vararu,Offensive_Targeted_Insult_Individual,Not_offensive
58,Enrum thala ajith'   views paka nera  youtube varavanga ellarum oru like podunga,Not_offensive,Not_offensive
59,#திரெளபதி திரைப்படம் #நாடக காதல் company நடத்தி வரும் திருமா குருப்பை உலகிற்கு வெளிச்சம் போட்டு காட்டிய ஆண் மகன்களுக்கு நன்றி#குமரி வெள்ளாளர் இளைஞர்கள் படத்திற்கு முழு ஆதரவு தருவோம்  #கவலை வேண்டாம்,Not_offensive,not-Tamil
60,in srilanka trending #1  THALA SUPER,Not_offensive,not-Tamil
61,intha Diwali ku iruku aaaappppu iruku ..but yarukunu na sollamata,Offensive_Targeted_Insult_Other,Not_offensive
62,Kozhandhaila vellaya iruparam.valandha karupa iruparam.idhudhan avaroda super power ah.indha logic ah epo da mathuvinga,Offensive_Untargetede,Not_offensive
63,come on suriya Anna fanz 10million vandea aganum,Not_offensive,Offensive_Targeted_Insult_Individual
64,Thala naa Great  Great naa Thala,Not_offensive,Not_offensive
65,Apdiye Aruvi maari feel varuthu..let's see..but semma teaser..,Not_offensive,Not_offensive
66,Dislike pottavan pathi Peru director ranjith veriyana erupan,Offensive_Untargetede,Offensive_Targeted_Insult_Individual
67,Na jeyankondam tha vanniyar ku padam edukave ippo yaarum illa marumalarchi padathuku apparam Oru vanniyarku edutha padam kandipa theater la poi paaruga...,Not_offensive,Not_offensive
68,0:12 Ellorum seththa tha sudukadu povanga....!,Not_offensive,not-Tamil
69,Coming soon ah apa August 10 release ilaya,Not_offensive,not-Tamil
70,Mohanlal look kandittu Narendra Modi look pole undallo..ini mohanlal aano villain,not-Tamil,Offensive_Targeted_Insult_Individual
71,Thala 60 title ku verithanama wait panravanga matum like panunga,Not_offensive,Not_offensive
72,#trending - வெயிட்டிங் ஃபார் த மூவி 🤩,Not_offensive,not-Tamil
73,Ghibran pundaya vitta ungalukku vera aale kedaika laya da.,Offensive_Targeted_Insult_Individual,not-Tamil
74,Paka thana pora Inda kaliy to atatha,Offensive_Untargetede,not-Tamil
75,romba speed ah iruku pa paaka mudila !,Not_offensive,Not_offensive
76,எவன் என்ன பண்ணாலும் படம் திரைக்கு வரும் da,Not_offensive,Not_offensive
77,Oruthar mela neenga viswasam katrathukaga innoruthara yen asingam paduthuringa by thala Ithu ovvoru thala and thalapathy fan kum therinjurukanum,Offensive_Untargetede,Not_offensive
78,Engalaku mannum ponnum onnu ... Adpi podu sema,Not_offensive,Not_offensive
79,SK fans ah vida Arjun Fans than adhigama irukainga daw,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Other
80,Poga dai sarkar tha best  NGK waste,Offensive_Targeted_Insult_Group,Offensive_Targeted_Insult_Other
81,"Apdinaa sc & ST pasanga kooda frndship vachuka maatinga last varaikum veetukullaium vida maatinga avan avan jaathiliey ponnu kattittu nalla irupoom ethuku vambu , veena sandai avan avan jaathiya vittu kudukamaa ipdey irupomm",Not_offensive,Not_offensive
82,Ana trailer pathona exaitment thanga mudyala,Offensive_Targeted_Insult_Group,Not_offensive
83,idhu 96 yara emathuravera lvl uh,Not_offensive,not-Tamil
